year,country,sector,woodland.type,area.t.ha,creation.t.ha,restock.t.ha
2012,Scotland,Public,Conifer,442,0.79,4.09
2013,Scotland,Public,Conifer,441,0.27,4.16
2014,Scotland,Public,Conifer,438,0.28,5.34
2015,Scotland,Public,Conifer,438,0.28,5.30
2016,Scotland,Public,Conifer,431,0.22,5.27
2017,Scotland,Public,Conifer,429,0.40,5.42
2018,Scotland,Public,Conifer,429,0.32,4.70
2019,Scotland,Public,Conifer,429,0.38,5.60
2020,Scotland,Public,Conifer,428,0.06,4.25
2021,Scotland,Public,Conifer,410,0.13,4.34
2022,Scotland,Public,Conifer,410,0.36,4.57
2023,Scotland,Public,Conifer,410,0.09,2.77
1971,Scotland,Public,Broadleaf,,0.01,
1972,Scotland,Public,Broadleaf,,0.01,
1973,Scotland,Public,Broadleaf,,0.02,
1974,Scotland,Public,Broadleaf,,0.03,
1975,Scotland,Public,Broadleaf,,0.04,0.01
1976,Scotland,Public,Broadleaf,,0.03,0.01
1977,Scotland,Public,Broadleaf,,0.04,0.01
1978,Scotland,Public,Broadleaf,,0.10,
1979,Scotland,Public,Broadleaf,,0.06,0.01
1980,Scotland,Public,Broadleaf,,0.08,0.01
1981,Scotland,Public,Broadleaf,,0.06,0.02
1982,Scotland,Public,Broadleaf,,0.04,0.01
1983,Scotland,Public,Broadleaf,,0.05,0.02
1984,Scotland,Public,Broadleaf,,0.04,0.02
1985,Scotland,Public,Broadleaf,,0.04,0.02
1986,Scotland,Public,Broadleaf,,0.04,0.07
1987,Scotland,Public,Broadleaf,,0.22,0.21
1988,Scotland,Public,Broadleaf,,0.30,0.38
1989,Scotland,Public,Broadleaf,,0.24,0.28
1990,Scotland,Public,Broadleaf,,0.22,0.30
1991,Scotland,Public,Broadleaf,,0.19,0.21
1992,Scotland,Public,Broadleaf,,0.22,0.27
1993,Scotland,Public,Broadleaf,,0.22,0.43
1994,Scotland,Public,Broadleaf,,0.14,0.35
1995,Scotland,Public,Broadleaf,,0.10,0.41
1996,Scotland,Public,Broadleaf,,0.03,0.32
1997,Scotland,Public,Broadleaf,,0.05,0.38
1998,Scotland,Public,Broadleaf,32,0.01,0.22
1999,Scotland,Public,Broadleaf,32,0.03,0.18
2000,Scotland,Public,Broadleaf,31,,0.21
2001,Scotland,Public,Broadleaf,31,0.01,0.32
2002,Scotland,Public,Broadleaf,31,0.02,0.38
2003,Scotland,Public,Broadleaf,31,0.07,0.34
2004,Scotland,Public,Broadleaf,31,0.03,0.41
2005,Scotland,Public,Broadleaf,31,0.04,0.70
2006,Scotland,Public,Broadleaf,31,0.11,0.37
2007,Scotland,Public,Broadleaf,31,0.01,0.62
2008,Scotland,Public,Broadleaf,31,,0.58
2009,Scotland,Public,Broadleaf,32,0.63,0.59
2010,Scotland,Public,Broadleaf,32,0.57,0.40
2011,Scotland,Public,Broadleaf,33,0.65,0.69
2012,Scotland,Public,Broadleaf,39,0.53,0.63
2013,Scotland,Public,Broadleaf,39,0.58,0.55
2014,Scotland,Public,Broadleaf,39,0.34,0.86
2015,Scotland,Public,Broadleaf,40,0.12,1.20
2016,Scotland,Public,Broadleaf,40,0.49,1.28
2017,Scotland,Public,Broadleaf,40,0.66,1.25
2018,Scotland,Public,Broadleaf,41,0.55,1.08
2019,Scotland,Public,Broadleaf,41,0.64,1.55
2020,Scotland,Public,Broadleaf,41,0.21,1.10
2021,Scotland,Public,Broadleaf,57,0.44,0.67
2022,Scotland,Public,Broadleaf,57,0.26,1.02
2023,Scotland,Public,Broadleaf,57,0.08,0.77
1971,Northern Ireland,Private,Conifer,,,
1972,Northern Ireland,Private,Conifer,,,
1973,Northern Ireland,Private,Conifer,,,
1974,Northern Ireland,Private,Conifer,,,
1975,Northern Ireland,Private,Conifer,,,
1976,Northern Ireland,Private,Conifer,,0.01,
1977,Northern Ireland,Private,Conifer,,0.02,
1978,Northern Ireland,Private,Conifer,,0.01,
1979,Northern Ireland,Private,Conifer,,0.01,
1980,Northern Ireland,Private,Conifer,,0.01,
1981,Northern Ireland,Private,Conifer,,0.04,
1982,Northern Ireland,Private,Conifer,,0.06,
1983,Northern Ireland,Private,Conifer,,0.01,
1984,Northern Ireland,Private,Conifer,,0.02,
1985,Northern Ireland,Private,Conifer,,0.03,
1986,Northern Ireland,Private,Conifer,,0.02,
1987,Northern Ireland,Private,Conifer,,0.09,
1988,Northern Ireland,Private,Conifer,,0.11,
1989,Northern Ireland,Private,Conifer,,0.05,
1990,Northern Ireland,Private,Conifer,,0.92,0.03
1991,Northern Ireland,Private,Conifer,,0.48,0.01
1992,Northern Ireland,Private,Conifer,,0.31,0.01
1993,Northern Ireland,Private,Conifer,,0.67,0.02
1994,Northern Ireland,Private,Conifer,,0.59,0.01
1995,Northern Ireland,Private,Conifer,,0.28,0.01
1996,Northern Ireland,Private,Conifer,,0.57,0.02
1997,Northern Ireland,Private,Conifer,,0.36,0.04
1998,Northern Ireland,Private,Conifer,,0.27,0.05
1999,Northern Ireland,Private,Conifer,,0.30,0.03
2000,Northern Ireland,Private,Conifer,,0.22,0.07
2001,Northern Ireland,Private,Conifer,,0.18,0.16
2002,Northern Ireland,Private,Conifer,,0.16,0.04
2003,Northern Ireland,Private,Conifer,,0.12,0.01
2004,Northern Ireland,Private,Conifer,,0.07,0.06
2005,Northern Ireland,Private,Conifer,10,0.02,0.05
2006,Northern Ireland,Private,Conifer,10,0.04,
2007,Northern Ireland,Private,Conifer,10,0.03,0.04
2008,Northern Ireland,Private,Conifer,10,0.04,0.06
2009,Northern Ireland,Private,Conifer,10,0.02,0.24
2010,Northern Ireland,Private,Conifer,10,,0.07
2011,Northern Ireland,Private,Conifer,10,0.02,0.17
2012,Northern Ireland,Private,Conifer,11,0.02,0.08
2013,Northern Ireland,Private,Conifer,11,0.01,0.06
2014,Northern Ireland,Private,Conifer,11,0.04,0.07
2015,Northern Ireland,Private,Conifer,11,0.02,0.12
2016,Northern Ireland,Private,Conifer,11,,0.04
2017,Northern Ireland,Private,Conifer,11,0.08,0.06
2018,Northern Ireland,Private,Conifer,11,0.11,0.05
2019,Northern Ireland,Private,Conifer,11,0.10,0.03
2020,Northern Ireland,Private,Conifer,9,0.05,0.07
2021,Northern Ireland,Private,Conifer,9,0.07,0.03
2022,Northern Ireland,Private,Conifer,9,0.09,0.15
2023,Northern Ireland,Private,Conifer,9,0.07,0.28
1971,Northern Ireland,Private,Broadleaf,,,
1972,Northern Ireland,Private,Broadleaf,,,
1973,Northern Ireland,Private,Broadleaf,,,
1974,Northern Ireland,Private,Broadleaf,,,
1975,Northern Ireland,Private,Broadleaf,,,
1976,Northern Ireland,Private,Broadleaf,,0.02,
1977,Northern Ireland,Private,Broadleaf,,0.04,
1978,Northern Ireland,Private,Broadleaf,,0.01,
1979,Northern Ireland,Private,Broadleaf,,0.03,
1980,Northern Ireland,Private,Broadleaf,,0.03,
1981,Northern Ireland,Private,Broadleaf,,0.09,
1982,Northern Ireland,Private,Broadleaf,,0.13,
1983,Northern Ireland,Private,Broadleaf,,0.02,
1984,Northern Ireland,Private,Broadleaf,,0.05,
1985,Northern Ireland,Private,Broadleaf,,0.05,
1986,Northern Ireland,Private,Broadleaf,,0.04,
1987,Northern Ireland,Private,Broadleaf,,0.18,
1988,Northern Ireland,Private,Broadleaf,,0.23,
1989,Northern Ireland,Private,Broadleaf,,0.10,
1990,Northern Ireland,Private,Broadleaf,,0.15,0.01
1991,Northern Ireland,Private,Broadleaf,,0.14,
1992,Northern Ireland,Private,Broadleaf,,0.15,
1993,Northern Ireland,Private,Broadleaf,,0.21,0.01
1994,Northern Ireland,Private,Broadleaf,,0.32,0.01
1995,Northern Ireland,Private,Broadleaf,,0.32,0.01
1996,Northern Ireland,Private,Broadleaf,,0.24,0.01
1997,Northern Ireland,Private,Broadleaf,,0.25,0.03
1998,Northern Ireland,Private,Broadleaf,,0.25,0.05
1999,Northern Ireland,Private,Broadleaf,,0.33,0.04
2000,Northern Ireland,Private,Broadleaf,,0.42,0.02
2001,Northern Ireland,Private,Broadleaf,,0.41,0.03
2002,Northern Ireland,Private,Broadleaf,,0.47,0.01
2003,Northern Ireland,Private,Broadleaf,,0.39,0.01
2004,Northern Ireland,Private,Broadleaf,,0.35,0.02
2005,Northern Ireland,Private,Broadleaf,14,0.32,0.02
2006,Northern Ireland,Private,Broadleaf,15,0.56,0.10
2007,Northern Ireland,Private,Broadleaf,15,0.45,0.02
2008,Northern Ireland,Private,Broadleaf,16,0.50,0.02
2009,Northern Ireland,Private,Broadleaf,16,0.27,0.04
2010,Northern Ireland,Private,Broadleaf,16,0.21,0.03
2011,Northern Ireland,Private,Broadleaf,17,0.23,0.03
2012,Northern Ireland,Private,Broadleaf,33,0.29,0.05
2013,Northern Ireland,Private,Broadleaf,39,0.25,0.05
2014,Northern Ireland,Private,Broadleaf,39,0.25,0.03
2015,Northern Ireland,Private,Broadleaf,39,0.19,0.04
2016,Northern Ireland,Private,Broadleaf,39,0.05,0.02
2017,Northern Ireland,Private,Broadleaf,39,0.13,
2018,Northern Ireland,Private,Broadleaf,39,0.10,0.03
2019,Northern Ireland,Private,Broadleaf,40,0.14,0.01
2020,Northern Ireland,Private,Broadleaf,46,0.10,0.02
2021,Northern Ireland,Private,Broadleaf,46,0.22,0.01
2022,Northern Ireland,Private,Broadleaf,47,0.43,0.01
2023,Northern Ireland,Private,Broadleaf,47,0.38,0.07
1971,Northern Ireland,Public,Conifer,,,
1972,Northern Ireland,Public,Conifer,,,
1973,Northern Ireland,Public,Conifer,,,
1974,Northern Ireland,Public,Conifer,,,
1975,Northern Ireland,Public,Conifer,,,
1976,Northern Ireland,Public,Conifer,,1.04,0.29
1977,Northern Ireland,Public,Conifer,,0.98,0.17
1978,Northern Ireland,Public,Conifer,,0.95,0.18
1979,Northern Ireland,Public,Conifer,,0.93,0.27
1980,Northern Ireland,Public,Conifer,,0.70,0.27
1981,Northern Ireland,Public,Conifer,,0.63,0.27
1982,Northern Ireland,Public,Conifer,,0.71,0.34
1983,Northern Ireland,Public,Conifer,,0.63,0.51
1984,Northern Ireland,Public,Conifer,,0.62,0.39
1985,Northern Ireland,Public,Conifer,,0.70,0.54
1986,Northern Ireland,Public,Conifer,,0.61,0.41
1987,Northern Ireland,Public,Conifer,,0.55,0.26
1988,Northern Ireland,Public,Conifer,,0.55,0.40
1989,Northern Ireland,Public,Conifer,,0.58,0.48
1990,Northern Ireland,Public,Conifer,,0.50,0.42
1991,Northern Ireland,Public,Conifer,,0.55,0.41
1992,Northern Ireland,Public,Conifer,,0.38,0.43
1993,Northern Ireland,Public,Conifer,,0.39,0.41
1994,Northern Ireland,Public,Conifer,,0.32,0.40
1995,Northern Ireland,Public,Conifer,,0.26,0.47
1996,Northern Ireland,Public,Conifer,,0.14,0.55
1997,Northern Ireland,Public,Conifer,,0.13,0.45
1998,Northern Ireland,Public,Conifer,,0.09,0.58
1999,Northern Ireland,Public,Conifer,,0.10,0.57
2000,Northern Ireland,Public,Conifer,,0.17,0.49
2001,Northern Ireland,Public,Conifer,,0.04,0.80
2002,Northern Ireland,Public,Conifer,,0.04,0.75
2003,Northern Ireland,Public,Conifer,,0.06,0.63
2004,Northern Ireland,Public,Conifer,,0.06,0.80
2005,Northern Ireland,Public,Conifer,56,0.01,0.83
2006,Northern Ireland,Public,Conifer,56,0.01,0.78
2007,Northern Ireland,Public,Conifer,56,,0.71
2008,Northern Ireland,Public,Conifer,56,0.02,0.44
2009,Northern Ireland,Public,Conifer,56,,0.54
2010,Northern Ireland,Public,Conifer,56,,0.61
2011,Northern Ireland,Public,Conifer,55,,0.85
2012,Northern Ireland,Public,Conifer,55,,0.84
2013,Northern Ireland,Public,Conifer,56,,1.00
2014,Northern Ireland,Public,Conifer,56,,0.97
2015,Northern Ireland,Public,Conifer,56,,0.82
2016,Northern Ireland,Public,Conifer,56,,0.70
2017,Northern Ireland,Public,Conifer,56,,1.09
2018,Northern Ireland,Public,Conifer,56,,0.80
2019,Northern Ireland,Public,Conifer,56,,0.69
2020,Northern Ireland,Public,Conifer,55,0.01,0.61
2021,Northern Ireland,Public,Conifer,55,,0.60
2022,Northern Ireland,Public,Conifer,55,,0.64
2023,Northern Ireland,Public,Conifer,54,,0.53
1971,Northern Ireland,Public,Broadleaf,,,
1972,Northern Ireland,Public,Broadleaf,,,
1973,Northern Ireland,Public,Broadleaf,,,
1974,Northern Ireland,Public,Broadleaf,,,
1975,Northern Ireland,Public,Broadleaf,,,
1976,Northern Ireland,Public,Broadleaf,,0.02,0.01
1977,Northern Ireland,Public,Broadleaf,,0.02,
1978,Northern Ireland,Public,Broadleaf,,0.02,
1979,Northern Ireland,Public,Broadleaf,,0.02,0.01
1980,Northern Ireland,Public,Broadleaf,,0.01,0.01
1981,Northern Ireland,Public,Broadleaf,,0.01,0.01
1982,Northern Ireland,Public,Broadleaf,,0.01,0.01
1983,Northern Ireland,Public,Broadleaf,,0.01,0.01
1984,Northern Ireland,Public,Broadleaf,,0.01,0.01
1985,Northern Ireland,Public,Broadleaf,,0.03,0.02
1986,Northern Ireland,Public,Broadleaf,,0.03,0.02
1987,Northern Ireland,Public,Broadleaf,,0.02,0.01
1988,Northern Ireland,Public,Broadleaf,,0.04,0.03
1989,Northern Ireland,Public,Broadleaf,,0.04,0.04
1990,Northern Ireland,Public,Broadleaf,,0.06,0.05
1991,Northern Ireland,Public,Broadleaf,,0.05,0.04
1992,Northern Ireland,Public,Broadleaf,,0.04,0.05
1993,Northern Ireland,Public,Broadleaf,,0.03,0.04
1994,Northern Ireland,Public,Broadleaf,,0.04,0.05
1995,Northern Ireland,Public,Broadleaf,,0.03,0.06
1996,Northern Ireland,Public,Broadleaf,,0.02,0.07
1997,Northern Ireland,Public,Broadleaf,,0.01,0.05
1998,Northern Ireland,Public,Broadleaf,,0.01,0.05
1999,Northern Ireland,Public,Broadleaf,,0.01,0.06
2000,Northern Ireland,Public,Broadleaf,,0.02,0.07
2001,Northern Ireland,Public,Broadleaf,,0.05,0.11
2002,Northern Ireland,Public,Broadleaf,,0.02,0.10
2003,Northern Ireland,Public,Broadleaf,,0.02,0.09
2004,Northern Ireland,Public,Broadleaf,,0.03,0.18
2005,Northern Ireland,Public,Broadleaf,5,,0.07
2006,Northern Ireland,Public,Broadleaf,5,0.01,0.06
2007,Northern Ireland,Public,Broadleaf,5,,0.04
2008,Northern Ireland,Public,Broadleaf,5,,0.01
2009,Northern Ireland,Public,Broadleaf,6,,0.02
2010,Northern Ireland,Public,Broadleaf,6,,
2011,Northern Ireland,Public,Broadleaf,6,,
2012,Northern Ireland,Public,Broadleaf,6,,0.03
2013,Northern Ireland,Public,Broadleaf,6,,0.05
2014,Northern Ireland,Public,Broadleaf,6,,0.09
2015,Northern Ireland,Public,Broadleaf,6,,0.06
2016,Northern Ireland,Public,Broadleaf,7,,0.04
2017,Northern Ireland,Public,Broadleaf,7,,0.16
2018,Northern Ireland,Public,Broadleaf,7,,0.05
2019,Northern Ireland,Public,Broadleaf,7,,0.10
2020,Northern Ireland,Public,Broadleaf,7,0.04,0.01
2021,Northern Ireland,Public,Broadleaf,7,,0.01
2022,Northern Ireland,Public,Broadleaf,7,0.02,0.01
2023,Northern Ireland,Public,Broadleaf,8,,0.02
